Designator,Footprint,Quantity,Value,LCSC Part #
"A0, A1, A2, ADDR0, LED0, LED1, LED2, LED3, LED4, LED5, LED6, LED7, LED8, LED9",SolderJumper-2_P1.3mm_Bridged_Pad1.0x1.5mm,14,SolderJumper_2_Bridged,
"C1, C2, C7, C8",0603,4,0.1uF,
"C3, C6",C_Radial_D10.0mm_H20.0mm_P5.00mm,2,1000uF/35v,
C4,0805,1,10uF/100v,
C5,0603,1,10uF,
D1,0603,1,GREEN,
"D10, D11, D4, D5, D6, D7, D8, D9",D_SOD-123,8,1N4148W,
"D12, D13, D14, D15, D16, D17, D18, D19",0603,8,BLUE,
D2,0603,1,RED,
D3,D_SMA,1,Z1SMA4740,
FRAME1,CREATIVE_COMMONS,1,FRAME-LETTER,
J1,"PhoenixContact_MC_1,5_2-G-3.5_1x02_P3.50mm_Horizontal",1,TERMBLOCK_1X2,
"J2, J4",1X04_1MM_RA_STRESSRELIEF,2,QWIIC_RIGHT_ANGLE,
"J3, J5",PinHeader_1x05_P2.54mm_Vertical,2,Conn_01x05,
"JP10, JP11, JP12, JP13, JP14, JP15, JP16, JP9","PhoenixContact_MC_1,5_3-G-3.5_1x03_P3.50mm_Horizontal",8,HEADER-1X3_508TERM,
"JP3, JP4, JP7, JP8",STAND-OFF,4,STAND-OFF,
"K1, K2, K3, K4, K5, K6, K7, K8",Relay_SPDT_Omron-G5Q-1,8,G5Q-1,
Q1,TO252,1,AOD417,
"Q2, Q3, Q4, Q5, Q6, Q7, Q8, Q9",SOT-23,8,MMBT2222,
"R1, R10, R2, R3, R38, R39, R4, R40, R41, R42, R43, R44, R45, R5, R6, R7, R8, R9",0603,18,10K,
R11,0603,1,100k,
R12,0603,1,2k2,
"R13, R46, R47, R48, R49, R50, R51, R52, R53",0603,9,1k,
"R14, R15, R16, R17, R18, R19, R20, R21",0603,8,380R,
"R22, R24, R26, R28, R30, R32, R34, R36",0603,8,330R,
"R23, R25, R27, R29, R31, R33, R35, R37",0603,8,10,
Sign-RecyclBin,LOGO_RECYCLEBIN_1,1,,
Sign_Pb-Free,LOGO_PBFREE,1,,
Sign_RoHS,LOGO_ROHS_1,1,Val**,
U1,Bosch_LGA-8_3x3mm_P0.8mm_ClockwisePinNumbering,1,BME688,
"U10, U11, U12, U5, U6, U7, U8, U9",SMDIP-4_W9.53mm,8,LTV-817S,
U2,SSOP-8_2.95x2.8mm_P0.65mm,1,TCA9406DC,
U3,Converter_DCDC_RECOM_R-78HB-0.5L_THT,1,K7805-2000R3L,
U4,TSSOP-16_4.4x5mm_P0.65mm,1,TCA9554,
